City,Datetime,TrafficIndexLive,JamsCount,JamsDelay,JamsLength,TrafficIndexWeekAgo,TravelTimeHistoric,TravelTimeLive
Riyadh,16/12/2022 12:46,5,33,115,13.7,6,,
Riyadh,16/12/2022 13:46,6,57,197.6,39.4,11,,
Riyadh,16/12/2022 14:46,10,78,311.7,72.7,17,,
Riyadh,16/12/2022 15:46,13,127,508.1,105.1,17,,
Riyadh,16/12/2022 16:46,21,184,838.1,153.4,26,,
Riyadh,16/12/2022 17:01,22,207,937.6,162,25,,
Riyadh,16/12/2022 18:31,24,161,664.1,156.1,25,,
Riyadh,16/12/2022 19:01,24,160,656.4,121.9,23,,
Riyadh,16/12/2022 20:46,30,168,658.1,139.7,31,,
Riyadh,16/12/2022 21:01,28,176,613.3,140.7,34,,
Riyadh,16/12/2022 22:01,24,150,540.6,103.1,32,,
Riyadh,16/12/2022 23:31,23,116,380.3,94.1,18,,
Riyadh,17/12/2022 00:01,23,91,332.4,96.8,14,,
Riyadh,17/12/2022 01:01,17,67,228.2,50,23,,
Riyadh,17/12/2022 02:01,12,47,192.3,27.6,20,,
Riyadh,17/12/2022 03:01,7,29,105,13.5,25,,
Riyadh,17/12/2022 04:01,3,23,78.4,8.8,28,,
Riyadh,17/12/2022 05:01,1,12,39.6,4.9,24,,
Riyadh,17/12/2022 06:01,2,8,38.6,10.9,30,,
Riyadh,17/12/2022 07:01,2,13,46.6,11.6,34,,
Riyadh,17/12/2022 08:31,3,16,81.3,6.8,34,,
Riyadh,17/12/2022 09:46,7,43,149.4,29.4,34,,
Riyadh,17/12/2022 10:46,11,83,313,63,31,,
Riyadh,17/12/2022 11:01,11,89,333.6,66.7,26,,
Riyadh,17/12/2022 12:01,12,91,389.9,72.4,26,,
Riyadh,17/12/2022 13:31,12,77,242.6,55.9,20,,
Riyadh,17/12/2022 14:46,15,77,285.3,97.3,22,,
Riyadh,17/12/2022 15:46,22,155,685.7,182.9,24,,
Riyadh,17/12/2022 16:46,40,334,1379,317.4,37,,
Riyadh,17/12/2022 17:16,43,341,1528.5,360.2,39,,
Riyadh,17/12/2022 18:16,41,314,1339.9,315.1,40,,
Riyadh,17/12/2022 19:01,36,226,907.7,199.8,32,,
Riyadh,17/12/2022 20:46,31,215,803.5,178,28,,
Riyadh,17/12/2022 21:01,31,187,689.3,171.3,29,,
Riyadh,17/12/2022 22:01,28,172,574.6,152,24,,
Riyadh,17/12/2022 23:01,23,99,307.5,90.1,15,,
Riyadh,18/12/2022 00:01,17,47,149.5,50.1,11,,
Riyadh,18/12/2022 01:01,10,25,84.2,20.9,9,,
Riyadh,18/12/2022 02:01,5,22,75.4,9.2,5,,
Riyadh,18/12/2022 03:01,3,9,30.3,5.8,3,,
Riyadh,18/12/2022 04:01,1,5,15.1,3.3,1,,
Riyadh,18/12/2022 05:01,0,3,11.7,0.6,0,,
Riyadh,18/12/2022 06:46,6,25,95.9,33,25,,
Riyadh,18/12/2022 07:46,15,60,219.9,74.6,61,,
